alt_allele	end_gene	end	start_gene	Segment_Mean	genes	Sample	start	chr	build	Num_Probes	start_exon	end_exon	ref_allele	Segment_Call
	NBPF1	16591000		-0.465691	NBPF1,RNU1-1,RNU1-6P,RP4-798A10.4,RP4-798A10.7,RP5-875O13.1,RP5-875O13.6		16505001	chr1		47		7+		-
	CROCCP2	16637000	NBPF1	-0.125754	CROCCP2,NBPF1,RP5-1182A14.5		16599001	chr1		34	1-	4+		0
		16871000	CROCCP2	-0.526028	CROCCP2,EIF1AP1,ESPNP,MIR3675,MST1L,MST1P2,RNU1-3,RNU1-4,RP1-163M9.5,RP1-163M9.7,RP1-163M9.8,RP11-108M9.1,RP11-108M9.2,RP5-1182A14.7,RP5-1182A14.8,RP5-875O13.7		16637001	chr1		74	3-			-
		17502000		0.160698	ATP13A2,CROCC,MFAP2,MIR3972,PADI1,PADI2,PADI3,PADI4,PADI6,RCC2,RNU1-2,RNU1-5P,RP1-20B21.4,RP1-37C10.3,RP11-108M9.3,RP11-108M9.4,RP11-108M9.5,RP11-108M9.6,RP11-380J14.1,RP11-380J14.4,SDHB		16871001	chr1		568				0
		17716000		-0.656946	ARHGEF10L		17502001	chr1		192				-
		18961000		-0.010564	ACTL8,ALDH4A1,IFFO2,IGSF21,KLHDC7A,MIR1290,MIR4695,PAX7,RP1-8B22.1,RP1-8B22.2,RP11-174G17,RP11-174G17.2,RP11-174G17.3,RP11-422P22.1,RP11-473A10.2,RP11-658E23.1,RP13-279N23.2,TAS1R2		17716001	chr1		1173				0
	AHDC1	27544000		0.163986	AHDC1,AKR7A2,AKR7A3,AKR7L,ALPL,ARID1A,ASAP3,AUNIP,C1QA,C1QB,C1QC,C1orf213,C1orf234,CAMK2N1,CAPZB,CATSPER4,CD164L2,CD52,CDA,CDC42,CELA3A,CELA3B,CEP85,CLIC4,CNKSR1,CNR2,CRYBG2,DDOST,DHDDS,E2F2,ECE1,EIF4G3,ELOA,EMC1,EPHA8,EPHB2,EXTL1,FAM110D,FAM43B,FAM46B,FCN3,FUCA1,GALE,GPATCH3,GPN2,GPR3,GRHL3,HMGCL,HMGN2,HNRNPR,HP1BP3,HS6ST1P,HSPG2,HTR1D,HTR6,ID3,IFNLR1,IL22RA1,KDF1,KDM1A,KIF17,LACTBL1,LDLRAD2,LDLRAP1,LIN28A,LUZP1,LYPLA2,MAN1C1,MAP3K6,MDS2,MINOS1,MINOS1-NBL1,MIR1256,MIR1976,MIR3115,MIR378F,MIR3917,MIR4253,MIR4418,MIR4419A,MIR4425,MIR4684,MIR6084,MIR6127,MIR6731,MRTO4,MTFR1L,MUL1,MYOM3,NBL1,NBPF3,NCMAP,NIPAL3,NR0B2,NUDC,OTUD3,PAFAH2,PAQR7,PDIK1L,PIGV,PINK1,PITHD1,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G5,PNRC2,PQLC2,RAP1GAP,RCAN3,RF00019,RF00283,RF00492,RF01210,RHCE,RHD,RN7SL165P,RN7SL186P,RN7SL277P,RN7SL304P,RN7SL386P,RN7SL679P,RNF186,RNU4-28P,RNU6-1022P,RNU6-1099P,RNU6-110P,RNU6-1208P,RNU6-135P,RNU6-48P,RNU6-514P,RNU6-776P,RNU7-200P,RNU7-29P,RP1-125I3.2,RP1-125I3.4,RP1-125I3.7,RP1-144C9.2,RP1-150O5.3,RP1-159A19.4,RP1-184J9.2,RP1-187B23.1,RP1-224A6.3,RP1-224A6.4,RP1-224A6.6,RP1-224A6.8,RP1-224A6.9,RP1-317E23.3,RP1-317E23.6,RP1-317E23.7,RP1-43E13.2,RP1-50O24.6,RP1-61A9.4,RP11-10N16.2,RP11-10N16.3,RP11-132G19.3,RP11-223J15.2,RP11-231P20.2,RP11-231P20.5,RP11-231P20.6,RP11-26H16.1,RP11-26H16.4,RP11-293F5.1,RP11-293F5.2,RP11-293F5.4,RP11-293F5.6,RP11-293F5.8,RP11-293P20.2,RP11-293P20.4,RP11-335G20.1,RP11-335G20.7,RP11-344H11.4,RP11-344H11.5,RP11-344H11.6,RP11-373M8.2,RP11-401M16.3,RP11-401M16.7,RP11-40H20.1,RP11-40H20.2,RP11-40H20.3,RP11-40H20.4,RP11-40H20.5,RP11-415K20.1,RP11-415K20.2,RP11-487E1.1,RP11-487E1.2,RP11-492M19.1,RP11-492M19.3,RP11-496D1.2,RP11-4K3__A.3,RP11-4K3__A.5,RP11-4M23.2,RP11-4M23.3,RP11-4M23.4,RP11-4M23.7,RP11-560O15.1,RP11-569G9.7,RP11-628K18.1,RP11-63N8.3,RP11-69E9.1,RP11-70P17.1,RP11-84D1.1,RP11-84D1.2,RP11-91K11.2,RP11-96L14.7,RP11-96L14.8,RP11-96L14.9,RP3-329E20.2,RP3-340N1.2,RP3-340N1.5,RP3-340N1.6,RP3-340N1.7,RP3-465N24.5,RP3-465N24.6,RP3-465N24.7,RP3-465N24.8,RP3-469D22.1,RP3-476K8.3,RP3-476K8.4,RP4-594I10.3,RP4-654C18.1,RP4-657E11.10,RP4-706G24.1,RP4-745E8.2,RP4-749H3.1,RP4-749H3.2,RP4-749H3.3,RP4-749H3.4,RP4-752I6.1,RP4-781L3.1,RP4-785J1.1,RP4-799D16.1,RP5-1056L3.1,RP5-1056L3.3,RP5-1057J7.1,RP5-1057J7.6,RP5-1057J7.7,RP5-1057J7.8,RP5-1071N3.1,RP5-1126H10.2,RP5-886K2.3,RP5-930J4.2,RP5-930J4.5,RP5-968P14.2,RP5-979D14.1,RPL11,RPS6KA1,RSRP1,RUNX3,SEPN1,SFN,SH2D5,SH3BGRL3,SLC30A2,SLC9A1,SRRM1,SRSF10,STMN1,STPG1,SYF2,SYTL1,TCEA3,TMCO4,TMEM222,TMEM50A,TMEM57,TRIM63,TRNP1,UBR4,UBXN10,UBXN11,USP48,VWA5B1,WASF2,WDTC1,WNT4,ZBTB40,ZDHHC18,ZNF436,ZNF593,ZNF683		18961001	chr1		7627		5+		0
	THEMIS2	27876000	AHDC1	-0.536258	AHDC1,FAM76A,FGR,IFI6,PPP1R8,RNU6-1245P,RNU6-424P,RNU6-949P,RP1-159A19.3,RP11-288L9.1,RP11-288L9.3,RP11-288L9.4,RP3-426I6.2,RP3-426I6.3,RP3-426I6.5,RP3-426I6.6,SCARNA1,STX12,THEMIS2		27544001	chr1		287	4-	0-		-
		28132000	THEMIS2	-0.557638	EYA3,RN7SL559P,RP11-460I13.2,RP11-460I13.6,RP5-1053E7.1,RP5-1053E7.2,RP5-1053E7.3,RPA2,SMPDL3B,THEMIS2,XKR8		27878001	chr1		220	2+			-
	PTPRU	29255000		-0.495832	ATPIF1,DNAJC8,EPB41,GMEB1,MECR,MED18,OPRD1,PHACTR4,PTAFR,PTPRU,RAB42,RCC1,RF00017,RF00019,RF00422,RF02271,RNU11,RNU6-176P,RNU6ATAC27P,RP1-212P9.3,RP1-308E4.1,RP11-242O24.3,RP11-442N24__B.1,RP11-467D18.2,RP4-604A21.1,RP4-669K10.3,RP4-669K10.8,RP5-1092A3.4,RP5-1092A3.5,SESN2,SNHG12,SNHG3,SNORA16A,SNORA44,SNORA61,SNORA73A,SNORA73B,SNORD99,SRSF4,TAF12,TMEM200B,TRNAU1AP,YTHDF2		28132001	chr1		915		0-		-
		29595000	PTPRU	-0.762790	PTPRU,RP11-810H18.1,RP3-437I16.1		29255001	chr1		320	1+			-
		29648000		-0.729637			29595001	chr1		47				-
		29726000		-0.767657	RP4-656G21.1		29648001	chr1		72				-
		29836000		-0.806257	RP11-179G8.2		29728001	chr1		100				-
		30515000		-0.796858	RP11-111I12.1,RP11-179G8.1,RP3-357I16.1,RP4-591L5.1,RP4-591L5.2,RP5-893G23.1		29836001	chr1		559				-
		30596000		-0.755648			30515001	chr1		74				-
		30692000		-0.793752			30596001	chr1		92				-
		30705000		-0.631532			30692001	chr1		12				-
		30780000		-0.802320	LAPTM5,MATN1,MIR4420,RP5-1166H10.2		30705001	chr1		71				-
	PUM1	31025000		-0.590103	PUM1,RN7SKP91,RN7SL371P,RP1-65J11.5,RP5-1125N11.1,RP5-1125N11.2,SDC3		30780001	chr1		220		3+		-
		31386000	PUM1	-0.491664	FABP3,NKAIN1,PUM1,RP11-201O14.1,RP11-201O14.2,RP11-266K22.2,RP11-490K7.1,RP11-490K7.4,SEPW1P,SNRNP40,ZCCHC17		31025001	chr1		304	2-			-
		31550000		-0.664754	RF00019,RNU6-40P,RP11-439L8.2,RP11-439L8.3,RP11-73M7.10,SERINC2		31390001	chr1		141				-
	RP11-84A19.4	31870000		-0.640763	ADGRB2,COL16A1,HCRTR1,MIR4254,PEF1,RP11-73M7.1,RP11-73M7.6,RP11-73M7.9,RP11-84A19.2,RP11-84A19.3,RP11-84A19.4,SPOCD1,TINAGL1		31550001	chr1		291		1+		-
		33130000	RP11-84A19.4	-0.518765	AK2,AZIN2,BSDC1,CCDC28B,DCDC2B,EIF3I,FAM167B,FAM229A,FNDC5,HDAC1,HPCA,IQCC,KHDRBS1,KIAA1522,KPNA6,LCK,MARCKSL1,MIR5585,MTMR9L,PTP4A2,RBBP4,RF00017,RF00019,RN7SL122P,RNF19B,RP1-117O3.2,RP1-27O5.3,RP11-114B7.6,RP11-277A4.4,RP11-395N6.1,RP11-395N6.2,RP11-395N6.4,RP11-84A19.4,RP4-534N18.2,RP4-534N18.4,RP4-622L5.2,RP4-622L5.7,RP4-803A2.1,RP4-803A2.2,RP4-811H24.9,RP5-1174N9.2,S100PBP,SYNC,TMEM234,TMEM39B,TMEM54,TSSK3,TXLNA,YARS,ZBTB8A,ZBTB8B,ZBTB8OS		31870001	chr1		1079	0-			-
	CSMD2	33580000		-0.654746	A3GALT2,CSMD2,MIR3605,PHC2,RN7SKP16,RP1-149P10.1,RP11-131M11.2,RP11-131M11.3,RP11-131M11.4,RP11-415J8.3,RP11-415J8.5,RP11-415J8.7,RP4-580O19.2,TRIM62,ZNF362,ZSCAN20		33130001	chr1		428		49+		-
	CSMD2	33596000	CSMD2	-0.830787	CSMD2		33580001	chr1		16	48-	23+		-
	CSMD2	33617000	CSMD2	-0.922201	CSMD2		33596001	chr1		21	22-	17+		-
	CSMD2	33682000	CSMD2	-0.720667	CSMD2		33617001	chr1		64	16-	4+		-
	CSMD2	34131000	CSMD2	-0.786037	CSMD2,HMGB4,HSPD1P14,RNA5SP42,RP5-1007G16.1		33682001	chr1		426	3-	1+		-
	CSMD2	34148000	CSMD2	-0.658499	CSMD2		34131001	chr1		16	0-	1+		-
	CSMD2	34156000	CSMD2	-0.765940	CSMD2		34148001	chr1		8	0-	1+		-
		34261000	CSMD2	-0.759037	C1orf94,CSMD2		34156001	chr1		96	0-			-
		34596000		-0.779936	RP4-657M3.2		34261001	chr1		316				-
		34604000		-0.598798			34596001	chr1		8				-
		34653000		-0.697445			34604001	chr1		49				-
		34715000		-0.802321	MIR552		34653001	chr1		61				-
		34811000		-0.755055	GJA4,GJB3,GJB4,GJB5,RP1-34M23.5		34715001	chr1		94				-
	DLGAP3	34904000		-0.636415	DLGAP3,RP5-997D16.2,SMIM12		34811001	chr1		89		3+		-
		35236000	DLGAP3	-0.559589	DLGAP3,RF00019,RP11-181E22.1,RP11-181E22.4,RP11-244H3.1,RP11-244H3.4,RP11-244H3.5,RP11-248I9.2,SFPQ,TMEM35B,ZMYM1,ZMYM6		34904001	chr1		286	2-			-
		36528000		0.247049	ADPRHL2,AGO1,AGO3,AGO4,C1orf216,CLSPN,COL8A2,CSF3R,EVA1B,KIAA0319L,LSM10,MAP7D1,MRPS15,NCDN,OSCP1,PSMB2,RF00017,RF00091,RN7SL131P,RN7SL503P,RNU4-27P,RP11-238O13.1,RP11-268J15.5,RP11-435D7.3,RP4-665N4.4,RP4-665N4.8,RP4-728D4.2,RP4-728D4.3,RP4-765A10.1,RP4-765A10.2,RP4-789D17.4,RP4-789D17.5,SH3D21,SNORA63C,STK40,TEKT2,TFAP2E,THRAP3,TRAPPC3,ZMYM4		35238001	chr1		1164				+
		37131000		0.011703	GRIK3,RP11-251B9.1,RP4-614N24.1,RP4-614N24.3,RP4-655C4.1		36528001	chr1		565				0
	INPP5B	37883000		0.122862	C1orf109,C1orf122,CDCA8,DNALI1,EPHA10,FTHL1,GNL2,INPP5B,MANEAL,MEAF6,MIR4255,MIR5581,MIR6732,MTF1,RF00019,RNA5SP43,RNU6-636P,RP11-109P14.1,RP11-109P14.10,RP11-109P14.2,RP11-109P14.8,RP11-109P14.9,RP11-422J8.1,RP11-566C13.2,RP3-406M12.1,RP3-423B22.5,RP5-1090E8.1,RP5-1180C18.1,RSPO1,SNIP1,YRDC,ZC3H12A		37133001	chr1		701		13+		0
		38010000	INPP5B	-0.531073	FHL3,INPP5B,RF00017,RF00092,RNU6-510P,RNU6-584P,SF3A3		37883001	chr1		101	12-			-
	RP5-884C9.2	38058000		-0.704109	POU3F1,RP5-884C9.2,UTP11		38010001	chr1		47		0-		-
	RRAGC	38840000	RP5-884C9.2	0.028857	MIR3659,RNU6-753P,RP11-214L19.1,RP11-329N22.1,RP11-329N22.2,RP11-334L9.1,RP11-334L9.2,RP5-864K19.7,RP5-884C9.2,RP5-884C9.3,RP5-884C9.4,RRAGC		38058001	chr1		741	1+	6+		0
	MACF1	39428000	RRAGC	0.302400	AKIRIN1,GJA9,MACF1,MYCBP,NDUFS5,RF00019,RHBDL2,RNA5SP44,RNU6-605P,RNU6-608P,RP11-416A14.1,RP11-420K8.1,RP11-420K8.2,RP11-781D11.1,RP5-864K19.4,RP5-864K19.6,RP5-864K19.7,RRAGC		38840001	chr1		513	5-	60-		+
	TMEM53	44656000	MACF1	0.159239	ARTN,ATP6V0B,B4GALT2,BMP8A,BMP8B,C1orf210,C1orf50,CAP1,CCDC24,CCDC30,CDC20,CFAP57,CITED4,CLDN19,COL9A2,CTPS1,DMAP1,DPH2,EBNA1BP2,EDN2,ELOVL1,ERI3,ERMAP,EXO5,FAM183A,FOXJ3,FOXO6,GUCA2A,GUCA2B,HEYL,HIVEP3,HPCAL4,HYI,IPO13,KCNQ4,KDM4A,KLF17,KLF18,KRT8P47,MACF1,MED8,MFSD2A,MIR30C1,MIR30E,MIR5584,MIR6079,MIR6733,MIR6734,MIR6735,MPL,MYCL,NFYC,NT5C1A,OXCT2,P3H1,PABPC4,PPCS,PPIE,PPIEL,PPIH,PPT1,PTPRF,RF00019,RF00026,RIMKLA,RIMS3,RLF,RN7SL326P,RN7SL479P,RNA5SP45,RNA5SP46,RNF220,RNU6-1237P,RNU6-369P,RNU6-536P,RNU6-880P,RNU7-121P,RP1-118J21.24,RP1-118J21.25,RP1-118J21.27,RP1-118J21.28,RP1-118J21.5,RP1-144F13.3,RP1-144F13.4,RP1-21K4.1,RP1-228H13.1,RP1-228H13.2,RP1-228H13.5,RP1-228H13.6,RP1-39G22.4,RP1-39G22.7,RP1-63P18.2,RP1-92O14.3,RP1-92O14.6,RP11-115D7.3,RP11-157D18.2,RP11-163G10.2,RP11-163G10.3,RP11-163G10.4,RP11-184I16.2,RP11-184I16.3,RP11-184I16.4,RP11-223A3.1,RP11-319C21.1,RP11-342M1.3,RP11-342M1.6,RP11-342M1.7,RP11-348A7.1,RP11-348A7.2,RP11-399E6.1,RP11-399E6.2,RP11-399E6.4,RP11-486B10.3,RP11-486B10.4,RP11-486B10.5,RP11-506B15.4,RP11-506B15.6,RP11-570P14.1,RP11-656D10.3,RP11-656D10.5,RP11-656D10.6,RP11-656D10.7,RP11-69E11.7,RP11-69E11.8,RP11-7O11.3,RP11-7O11.7,RP3-342P20.2,RP3-393B19.1,RP4-635E8.1,RP4-654J19.1,RP4-675G8.3,RP4-675G8.4,RP4-739H11.1,RP4-739H11.3,RP4-739H11.4,RP5-1066H13.4,RP5-1198O20.4,RP5-1198O20.5,RP5-848E13.1,RP5-848E13.3,RP5-848E13.4,RP5-848E13.5,RP5-891H21.1,RP5-891H21.4,RP5-891H21.5,RP5-994D16.12,RP5-994D16.3,RP5-994D16.9,SCMH1,SLC2A1,SLC6A9,SLFNL1,SLFNL1-AS1,SMAP2,SNORA55,ST3GAL3,SVBP,SZT2,TIE1,TMCO2,TMEM125,TMEM269,TMEM53,TRIT1,YBX1,ZFP69,ZFP69B,ZMPSTE24,ZMYND12,ZNF684,ZNF691		39428001	chr1		4836	61+	2+		0
	LRRC41	46300000	TMEM53	0.257718	AKR1A1,AL355480.1,AL355480.2,AL355480.3,AL355480.4,BEST4,BTBD19,C1orf228,CCDC163P,CCDC17,EIF2B3,GPBP1L1,HECTD3,HPDL,IPP,KIF2C,LINC01144,LRRC41,LURAP1,MAST2,MMACHC,MUTYH,NASP,PIK3R3,PLK3,POMGNT1,PRDX1,PTCH2,RAD54L,RNA5SP47,RNU5D-1,RNU5E-6P,RNU5F-1,RP11-269F19.2,RP11-269F19.4,RP11-269F19.9,RP11-291L19.1,RP11-322N21.2,RP11-630I5.1,RP11-69J16.4,RP11-735A5.1,RP11-767N6.2,RP11-767N6.3,RP11-767N6.7,RP4-533D7.3,RP4-533D7.4,RP4-533D7.5,RP4-533D7.6,RP4-697E16.1,RP5-882O7.1,RP5-882O7.3,RP5-882O7.4,RP5-882O7.5,RPS8,SNORD38A,SNORD38B,SNORD46,SNORD55,TESK2,TMEM53,TMEM69,TOE1,TSPAN1,UROD,ZSWIM5		44656001	chr1		1471	1-	1+		+
	RP1-18D14.3	47174000	LRRC41	0.082311	ATPAF1,CYP4A11,CYP4A22,CYP4B1,CYP4X1,CYP4Z1,DMBX1,EFCAB14,FAAH,KNCN,LRRC41,MKNK1,MKNK1-AS1,MOB3C,NSUN4,RP1-18D14.2,RP1-18D14.3,RP11-184J23.2,RP11-346M5.1,RP11-346M5.3,RP11-346M5.4,RP11-346M5.5,RP11-346M5.6,RP11-49P4.7,RP11-8J9.1,RP11-8J9.4,RP11-8J9.5,RP4-603I14.3,RP4-732G19.2,RP5-1109J22.1,RP5-1109J22.2,TEX38,UQCRH		46300001	chr1		764	0-	3+		0
